name_ko,name_en,name_scientific,ins_number,cas_number,aliases,usage_condition,is_allowed,law_source
식용색소황색제4호 알루미늄레이크,Food Yellow No.4 Aluminium Lake,,,,,,True,식품첨가물공전
식용색소황색제5호,Food Yellow No.5,,,,,,True,식품첨가물공전
식용색소황색제5호 알루미늄레이크,Food Yellow No.5 Aluminium Lake,,,,,,True,식품첨가물공전
실리코알루민산나트륨,Sodium Silicoaluminate,,,,,,True,식품첨가물공전
심황색소,Curcumin,,,,,,True,식품첨가물공전
쌀겨왁스,Rice Bran Wax,,,,,,True,식품첨가물공전
아니스알데히드,Anisaldehyde,,,,,,True,식품첨가물공전
160	스테아린산칼슘,Calcium Stearate,,,,,,True,식품첨가물공전
161	스테아릴젖산나트륨,Sodium Stearoyl Lactylate,,,,,,True,식품첨가물공전
162	스테아릴젖산칼슘,Calcium Stearoyl Lactylate,,,,,,True,식품첨가물공전
163	스피룰리나색소,Spirulina Color,,,,,,True,식품첨가물공전
164	L-시스테인염산염,L-Cysteine Monohydrochloride,,,,,,True,식품첨가물공전
165	시아너트색소,Shea Nut Color,,,,,,True,식품첨가물공전
166	시클로덱스트린,Cyclodextrin,,,,,,True,식품첨가물공전
167	시클로덱스트린시럽,Cyclodextrin Syrup,,,,,,True,식품첨가물공전
168	시클로헥산프로피온산알릴,Allyl Cyclohexane propionate,,,,,,True,식품첨가물공전
169	시트랄,Citral,,,,,,True,식품첨가물공전
170	시트로넬랄,Citronellal,,,,,,True,식품첨가물공전
171	시트로넬롤,Citronellol,,,,,,True,식품첨가물공전
172	식용색소녹색제3호,Food Green No.3,,,,,,True,식품첨가물공전
173	식용색소녹색제3호 알루미늄레이크,Food Green No.3 Aluminium Lake,,,,,,True,식품첨가물공전
174	식용색소적색제2호,Food Red No.2,,,,,,True,식품첨가물공전
175	식용색소적색제2호 알루미늄레이크,Food Red No.2 Aluminium Lake,,,,,,True,식품첨가물공전
176	식용색소적색제3호,Food Red No.3,,,,,,True,식품첨가물공전
177	식용색소적색제40호,Food Red No.40 Allura Red,,,,,,True,식품첨가물공전
178	식용색소적색제40호 알루미늄레이크,Food Red No.40 Aluminium Lake,,,,,,True,식품첨가물공전
179	식용색소적색제102호,Food Red No.102,,,,,,True,식품첨가물공전
180	식용색소청색제1호,Food Blue No.1,,,,,,True,식품첨가물공전
181	식용색소청색제1호 알루미늄레이크,Food Blue No.1 Aluminium Lake,,,,,,True,식품첨가물공전
182	식용색소청색제2호,Food Blue No.2,,,,,,True,식품첨가물공전
